company_name,bidding_day,bidding_date,total_multiple,qib_multiple,nii_multiple,retail_multiple,source
ACCURACY SHIPPING LTD.,1,"Jun 11, 2018",0.09,,0.22,0.09,user_scraped
ACCURACY SHIPPING LTD.,2,"Jun 12, 2018",0.11,,0.22,0.2,user_scraped
ACCURACY SHIPPING LTD.,3,"Jun 13, 2018",0.44,0.56,0.25,0.47,user_scraped
ACCURACY SHIPPING LTD.,4,"Jun 14, 2018",1.5,0.56,1.42,4.79,user_scraped
ADITYA ULTRA STEEL LTD.,1,"September 9, 2024",2.1,0.87,1.49,4.11,user_scraped
ADITYA ULTRA STEEL LTD.,2,"September 10, 2024",4.5,1.01,2.38,10.39,user_scraped
ADITYA ULTRA STEEL LTD.,3,"September 11, 2024",10.58,1.21,12.16,23.26,user_scraped
AHLADA ENGINEERS LTD.,1,"Sep 11, 2018",0.21,0.0,0.21,0.44,user_scraped
AHLADA ENGINEERS LTD.,2,"Sep 12, 2018",0.27,0.1,0.21,0.49,user_scraped
AHLADA ENGINEERS LTD.,3,"Sep 14, 2018",0.29,0.1,0.22,0.55,user_scraped
AHLADA ENGINEERS LTD.,4,"Sep 17, 2018",0.91,1.09,0.47,1.0,user_scraped
AHLADA ENGINEERS LTD.,5,"Sep 18, 2018",2.35,1.44,2.64,3.19,user_scraped
ANLON TECHNOLOGY SOLUTIONS LTD.,1,"Dec 29, 2022",21.92,4.27,14.58,35.12,user_scraped
ANLON TECHNOLOGY SOLUTIONS LTD.,2,"Dec 30, 2022",75.04,9.24,73.43,113.23,user_scraped
ANLON TECHNOLOGY SOLUTIONS LTD.,3,"Jan 2, 2023",428.62,54.53,883.58,447.06,user_scraped
ANNAPURNA SWADISHT LTD.,1,"Sep 15, 2022",5.59,0.0,3.58,14.39,user_scraped
ANNAPURNA SWADISHT LTD.,2,"Sep 16, 2022",17.78,0.03,13.37,44.93,user_scraped
ANNAPURNA SWADISHT LTD.,3,"Sep 19, 2022",133.43,18.34,301.13,225.54,user_scraped
BASILIC FLY STUDIO LTD.,1,"September 1, 2023",33.17,7.18,27.55,50.44,user_scraped
BASILIC FLY STUDIO LTD.,2,"September 4, 2023",139.54,16.14,122.14,217.51,user_scraped
BASILIC FLY STUDIO LTD.,3,"September 5, 2023",358.6,116.34,549.44,415.22,user_scraped
BRACE PORT LOGISTICS LTD.,1,"August 19, 2024",52.27,6.59,29.03,81.41,user_scraped
BRACE PORT LOGISTICS LTD.,2,"August 20, 2024",156.24,16.83,106.16,231.26,user_scraped
BRACE PORT LOGISTICS LTD.,3,"August 21, 2024",657.81,450.04,854.49,588.74,user_scraped
CANARYS AUTOMATIONS LTD.,1,"September 27, 2023",0.3,0.0,0.38,0.43,user_scraped
CANARYS AUTOMATIONS LTD.,2,"September 28, 2023",0.45,0.0,0.18,0.85,user_scraped
CANARYS AUTOMATIONS LTD.,3,"September 29, 2023",1.05,0.0,0.59,1.89,user_scraped
CANARYS AUTOMATIONS LTD.,4,"October 3, 2023",9.94,2.73,14.29,11.7,user_scraped
CREATIVE NEWTECH LTD.,1,"March 28, 2024",0.96,0.0,0.47,1.72,user_scraped
CREATIVE NEWTECH LTD.,2,"April 1, 2024",3.5,0.0,2.03,6.14,user_scraped
CREATIVE NEWTECH LTD.,3,"April 2, 2024",9.09,0.02,5.79,15.69,user_scraped
CREATIVE NEWTECH LTD.,4,"April 3, 2024",18.91,0.03,14.52,31.58,user_scraped
CREATIVE NEWTECH LTD.,5,"April 4, 2024",201.86,98.79,472.85,144.63,user_scraped
DELAPLEX LTD.,1,"January 25, 2024",3.13,0.58,1.97,5.08,user_scraped
DELAPLEX LTD.,2,"January 29, 2024",29.93,0.68,26.93,47.93,user_scraped
DELAPLEX LTD.,3,"January 30, 2024",177.8,90.91,335.23,159.91,user_scraped
DHARIWALCORP LTD.,1,"August 1, 2024",3.37,0.0,1.83,5.9,user_scraped
DHARIWALCORP LTD.,2,"August 2, 2024",9.97,0.0,5.71,17.35,user_scraped
DIGIKORE STUDIOS LTD.,1,"September 25, 2023",22.5,7.09,15.88,34.13,user_scraped
DIGIKORE STUDIOS LTD.,2,"September 26, 2023",76.89,7.56,45.91,129.76,user_scraped
DIGIKORE STUDIOS LTD.,3,"September 27, 2023",281.58,65.63,362.65,370.17,user_scraped
DRONE DESTINATION LTD.,1,"Jul 7, 2023",9.16,5.54,3.67,13.58,user_scraped
DRONE DESTINATION LTD.,2,"Jul 10, 2023",32.13,5.61,18.64,53.09,user_scraped
DRONE DESTINATION LTD.,3,"Jul 11, 2023",61.11,6.26,37.32,102.7,user_scraped
DRONE DESTINATION LTD.,4,"Jul 12, 2023",98.2,9.77,68.89,161.37,user_scraped
DRONE DESTINATION LTD.,5,"Jul 13, 2023",191.65,50.46,243.85,250.09,user_scraped
ENFUSE SOLUTIONS LTD.,1,"March 15, 2024",8.36,1.93,5.27,13.36,user_scraped
ENFUSE SOLUTIONS LTD.,2,"March 18, 2024",39.45,3.57,35.14,61.82,user_scraped
ENFUSE SOLUTIONS LTD.,3,"March 19, 2024",357.31,99.97,953.22,248.42,user_scraped
ENVIROTECH SYSTEMS LTD.,1,"September 13, 2024",2.71,0.0,2.33,4.43,user_scraped
ENVIROTECH SYSTEMS LTD.,2,"September 16, 2024",6.36,0.0,3.12,11.38,user_scraped
