chittorgarh_id,company_name,listing_date,issue_price,listing_close_price,listing_gain_pct,firm_age,diff_issue_list_dates,log_traded_qty,total_subs_times,retail_subs_times,log_retail_subs,log_day1_subs,log_subs_accel,log_closing_surge,eps,pe_ratio_clipped,debt_to_asset_ratio,is_hot_period,current_gain_loss_pct,event,time,cox_hazard_score,rsf_risk_score,risk_quintile
1948,Technichem Organics Ltd.,07-Jan-2025,55.0,60.11,9.29,12.0,5,15.413169570731808,425.09,329.43,5.800394836556317,3.920278832112769,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,17.29,0,444.0,0.5738812519575281,63.51294088570743,Q2
1946,Anya Polytech & Fertilizers Ltd.,02-Jan-2025,14.0,17.95,28.21,12.0,3,15.38889653934783,439.88,321.53,5.7761961551652465,3.8964930373098388,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,27.5,0,448.0,0.5359622124146945,49.44170315795316,Q2
2276,Modern Diagnostic & Research Centre Ltd.,07-Jan-2026,90.0,94.99,5.54,12.0,5,15.45196053731509,376.9,342.46,5.839070656555716,3.958314813207425,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-7.78,1,184.0,0.575731359338141,75.28166173389516,Q2
2720,E to E Transportation Infrastructure Ltd.,02-Jan-2026,174.0,327.8,88.39,12.0,3,15.915269422892973,526.56,544.28,6.301299424200896,4.414518025873811,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,98.07,0,187.0,0.36042045958395047,23.31775672244424,Q1 (Predicted Safest)
2504,Bai Kakaji Polymers Ltd.,31-Dec-2025,186.0,188.2,1.18,12.0,5,10.885584751364705,5.71,3.56,1.5173226235262949,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,61.29,0,189.0,2.2282729227157794,149.9631472530649,Q5 (Predicted Highest Risk)
2258,Apollo Techno Industries Ltd.,31-Dec-2025,130.0,151.95,16.88,12.0,5,13.41823829664444,50.63,44.81,3.8245024078986507,2.044008645680919,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-23.08,1,189.0,1.0118910155715162,86.03931115827922,Q3
2631,Nanta Tech Ltd.,31-Dec-2025,220.0,245.7,11.68,12.0,5,10.683981470512775,6.43,2.91,1.3635373739972745,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,59.75,0,189.0,2.254356469181501,105.75645546786048,Q3
2765,Dhara Rail Projects Ltd.,31-Dec-2025,126.0,157.5,25.0,12.0,5,14.196786110261119,111.9,97.61,4.591172676344238,2.749927638446682,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,12.7,0,189.0,0.7766451571916898,64.45097505018393,Q2
2607,EPW India Ltd.,30-Dec-2025,97.0,116.55,20.15,12.0,6,9.885883506587767,1.32,1.31,0.8372475245337022,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,147.58,0,189.0,2.6584733344291784,105.94202655174354,Q3
2261,Shyam Dhani Industries Ltd.,30-Dec-2025,70.0,139.65,99.5,12.0,6,16.6527628521162,988.29,1137.92,7.037835723930401,5.145678876119181,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-25.0,1,189.0,0.2765568824296846,23.223994547119567,Q1 (Predicted Safest)
2522,Global Ocean Logistics India Ltd.,24-Dec-2025,78.0,79.29,1.65,12.0,5,12.092349482427034,13.64,11.9,2.5572273113676265,1.0242478733792475,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,31.54,0,194.0,1.5873402831279202,138.0821392574182,Q5 (Predicted Highest Risk)
2539,Exim Routes Ltd.,19-Dec-2025,88.0,115.5,31.25,12.0,3,11.912379207638454,15.23,9.94,2.392425796993835,0.9126842362800434,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,7.67,0,197.0,1.4856687421264267,71.18383589224241,Q2
2602,Stanbik Agro Ltd.,19-Dec-2025,30.0,33.33,11.1,12.0,3,10.146472946063877,1.49,1.7,0.9932517730102833,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-19.0,1,197.0,2.5868429292820547,108.73324206320574,Q3
2612,HRS Aluglaze Ltd.,18-Dec-2025,96.0,132.3,37.81,12.0,3,13.518587249858557,44.83,49.54,3.922765101960048,2.1319153889405387,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,165.62,0,198.0,0.903330850921362,55.325441541376506,Q2
2648,Pajson Agro India Ltd.,18-Dec-2025,118.0,130.2,10.34,12.0,3,10.963895944251435,6.5,3.85,1.5789787049493917,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,79.66,0,198.0,2.102838937382092,112.32479314002589,Q4
2494,Prodocs Solutions Ltd.,15-Dec-2025,138.0,151.2,9.57,12.0,5,10.482933978579906,2.66,2.38,1.2178757094949273,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,8.7,0,200.0,2.3944858164846314,118.19782302044298,Q4
2778,K.V.Toys India Ltd.,15-Dec-2025,239.0,336.0,40.59,12.0,5,15.546484632035886,352.63,376.41,5.933332129668729,4.051115158327014,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,21.34,0,200.0,0.48700018065481576,27.698095518316126,Q1 (Predicted Safest)
2396,Flywings Simulator Training Centre Ltd.,12-Dec-2025,191.0,204.75,7.2,12.0,3,9.585414998760278,1.67,0.97,0.6780335427498971,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-15.47,1,202.0,2.9944349064120446,120.61353584928081,Q4
