co_code,company_name,symbol,listing_date,listing_year,time,event,issue_price,listing_close,listing_gain_pct,firm_age,diff_issue_list_dates,traded_qty_l1,total_subs_times,qib_subs_times,nii_subs_times,eps,pe_ratio,debt_to_asset_ratio,day1_subs,day2_subs,day3_subs,subs_acceleration,closing_day_surge,has_daily_bidding_data,retail_subs_times,applications_count,applications_count_filled,log_retail_subs,log_applications,retail_to_nii_ratio,qib_participated,current_price_today,current_gain_pct_today,is_surviving_today
101023,INNOVATIVE TYRES & TUBES LTD.,ITTL,2017-05-10,2017,33,1,45.0,47.15,4.78,22,9,3957000,2.5,1.0,1.0,2.56,18.44,1.0,2.71,9.55,63.05,3.161453310781228,5.742980991012487,0,14.36,,103013.5,2.731766727719526,11.542625034002691,14.217821782178218,0,,,0
107690,JASH ENGINEERING LTD.,JASH,2017-11-10,2017,218,1,95.0,144.0,51.58,44,757,232800,3.5,1.0,1.5,5.34,26.97,1.0,2.71,9.55,63.05,3.161453310781228,5.742980991012487,0,2.12,,103013.5,1.1378330018213911,11.542625034002691,1.403973509933775,0,521.15,2078.75,1
108060,JAY BEE LAMINATIONS LTD.,JAYBEE,2024-03-09,2024,82,0,146.0,291.25,99.49,36,5,1829000,3.5,1.0,1.5,8.27,35.21,1.0,2.71,9.55,63.05,3.161453310781228,5.742980991012487,0,87.88,181565.0,181565.0,4.487287145331375,12.109374502951,58.198675496688736,0,82.3,-43.63,0
11696,ALPEX SOLAR LTD.,ALPEXSOLAR,15-02-2024,2024,217,0,115.0,345.45,200.39,31,3,2864400,3.5,1.0,1.5,3.95,87.52,1.0,2.71,9.55,63.05,3.161453310781228,5.742980991012487,0,351.89,631993.0,631993.0,5.86615639364046,13.356635179413043,233.03973509933772,0,916.65,697.09,1
122315,KONSTELEC ENGINEERS LTD.,KONSTELEC,30-01-2024,2024,229,0,70.0,220.5,215.0,29,6,2144000,3.5,1.0,1.5,4.28,51.46,1.0,2.71,9.55,63.05,3.161453310781228,5.742980991012487,0,437.67,298488.0,298488.0,6.083747421972477,12.60648836021451,289.84768211920533,0,59.05,-15.64,0
12918,AMBEY LABORATORIES LTD.,AMBEY,2024-11-07,2024,16,1,68.0,89.25,31.25,39,3,2230000,3.5,1.0,1.5,3.21,27.76,1.0,2.71,9.55,63.05,3.161453310781228,5.742980991012487,0,195.06,213007.0,213007.0,5.27842073483358,12.269085002671698,129.17880794701986,0,30.2,-55.59,0
135690,M M P INDUSTRIES LTD.,MMP,2018-12-04,2018,305,1,105.0,199.5,90.0,45,645,1002000,2.5,1.0,1.0,9.33,21.38,1.0,0.06,0.08,0.15,1.3333333333333337,8.75,1,0.94,,103013.5,0.6626879730752367,11.542625034002691,0.9306930693069306,0,466.85,148.32,1
138273,MANGALAM ALLOYS LTD.,MAL,27-11-2019,2019,115,1,41.0,51.5,25.61,9,9,140000,2.5,1.0,1.0,1.51,34.03,1.0,0.93,2.34,5.57,2.516129032258064,1.3803418803418803,1,8.73,17782.0,17782.0,2.2752138961979136,9.78599822374366,8.643564356435643,0,42.25,-47.19,0
142849,MEDICAMEN ORGANICS LTD.,MEDIORG,28-06-2024,2024,114,0,34.0,144.7,325.59,29,3,1824000,2.5,1.0,1.0,1.34,107.83,1.0,2.71,9.55,63.05,3.161453310781228,5.742980991012487,0,1309.77,336611.0,336611.0,7.178370029776058,12.72668621072726,1296.8019801980197,0,21.65,-36.32,0
171911,PARTY CRUISERS LTD.,PARTYCRUS,2021-05-03,2021,2,1,51.0,51.3,0.59,27,8,14000,2.5,1.0,1.0,0.86,59.85,1.0,2.71,9.55,63.05,3.161453310781228,5.742980991012487,0,2.26,,103013.5,1.181727195378616,11.542625034002691,2.2376237623762374,0,97.3,90.78,1
172931,PAVNA INDUSTRIES LTD.,PAVNAIND,2021-09-03,2021,626,0,165.0,165.5,0.3,27,8,113600,2.5,1.0,1.0,3.33,49.65,1.0,2.71,9.55,63.05,3.161453310781228,5.742980991012487,0,1.07,,103013.5,0.7275486072772778,11.542625034002691,1.0594059405940597,0,15.67,-3.94,0
174144,PERFECT INFRAENGINEERS LTD.,PERFECT,20-11-2015,2015,11,1,23.0,25.1,9.13,19,16,264000,2.5,1.0,1.0,0.64,39.49,1.0,2.71,9.55,63.05,3.161453310781228,5.742980991012487,0,1.26,,103013.5,0.8153648132841945,11.542625034002691,1.2475247524752475,0,,0.0,0
177726,POWER & INSTRUMENTATION (GUJARAT) LTD.,,23-04-2018,2018,11,1,27.92,34.9,25.0,12,7,780000,3.5,1.0,1.5,2.81,12.42,1.0,2.71,9.55,63.05,3.161453310781228,5.742980991012487,0,1.83,,103013.5,1.0402767116551463,11.542625034002691,1.2119205298013245,0,8.21,228.4,1
184849,QUALITY FOILS (INDIA) LTD.,QFIL,24-03-2023,2023,325,0,60.0,97.7,62.83,33,8,548000,3.5,1.0,1.5,5.26,18.59,1.0,2.71,9.55,63.05,3.161453310781228,5.742980991012487,0,259.65,46477.0,46477.0,5.563178511214115,10.746734361340112,171.95364238410593,0,60.0,0.0,0
196099,REFRACTORY SHAPES LTD.,REFRACTORY,14-05-2024,2024,156,0,31.0,78.75,154.03,28,5,2744000,3.5,1.0,1.5,1.84,42.71,0.45,2.71,9.55,63.05,3.161453310781228,5.742980991012487,0,259.56,129522.0,129522.0,5.562833160967978,11.771613750529225,171.89403973509934,0,31.65,2.1,1
