covariate,coef,hazard_ratio,se(coef),p
listing_gain_pct,-0.01047559365771588,0.9895790842790186,0.004583546986684182,0.02228484235797718
firm_age,0.0008860366835059167,1.000886429329966,0.018952154955969452,0.9627114939287292
diff_issue_list_dates,0.0006193337848289321,1.000619525611597,0.0012747536294822777,0.6270764500765189
log_traded_qty,-0.12056314931796652,0.8864211086894451,0.1864964453245985,0.5179792121930559
total_subs_times,-3.298046185106484e-07,0.9999996701954359,0.0008526001879370195,0.9996913606044758
log_retail_subs,-0.038949058869662934,0.9617997030624853,0.1563295788201925,0.8032470089183472
log_day1_subs,-1.5956336348213143e-06,0.9999984043676382,0.0012793805525031126,0.9990048847394358
log_subs_accel,-0.4928035667074609,0.6109112605907003,0.6367882628551332,0.4389963099471317
log_closing_surge,-1.3635769244437953e-07,0.9999998636423169,0.0006113730989487676,0.9998220436966672
eps,-0.0009085427063585492,0.9990918698936018,0.01941045665836163,0.9626671541881763
pe_ratio_clipped,8.291700716303628e-08,1.0000000829170106,0.00011994041549476923,0.999448407825663
debt_to_asset_ratio,-9.209941897665892e-07,0.9999990790062343,0.0030230339868183927,0.9997569173762384
is_hot_period,-0.3129682250207887,0.7312731483888091,0.515573909361189,0.5438317820937635
