covariate,coef,hazard_ratio,se(coef),p
listing_gain_pct,-0.004948535421687567,0.9950636884080586,0.0009707883636425342,3.442775104866731e-07
firm_age,6.571420185537223e-09,1.00000000657142,1.5072447379865125e-05,0.9996521311761565
diff_issue_list_dates,0.00036219713234803496,1.0003622627336493,0.00011877465842320991,0.0022926239677413126
log_traded_qty,-0.15685105835055302,0.8548313693306779,0.04597072148586188,0.000644934827763786
total_subs_times,-6.914917559810612e-08,0.9999999308508268,4.142449642851735e-05,0.9986681061030186
log_day1_subs,-0.1398918713848489,0.8694522429832331,0.1351616545562064,0.3006704352215598
log_subs_accel,-0.011427464016304066,0.988637581446622,0.13326500443661266,0.9316652145529147
eps,-0.0005365031336922354,0.99946364075838,0.009697734544400939,0.9558815195959764
pe_ratio_clipped,1.1939496489463232e-09,1.0000000011939496,3.703405357344325e-06,0.9997427681058789
debt_to_asset_ratio,6.90171895859486e-08,1.000000069017192,0.0008298964539908466,0.9999336450352664
is_hot_period,-0.17299560565131156,0.8411413111047191,0.1474494894464616,0.24069422846624056
